country_code,latitude,longitude,country,Country of birth(b),estimatedthouthands,percentage
CN,35.86166,104.195397,China,China(d),651,2.5
GB,55.378051,-3.435973,United Kingdom,England,980,3.8
IN,20.593684,78.96288,India,India,721,2.8
IT,41.87194,12.56738,Italy,Italy,178,0.7
LK,7.873054,80.771797,Sri Lanka,Sri Lanka,147,0.6
MY,4.210484,101.975766,Malaysia,Malaysia,177,0.7
NZ,-40.900557,174.885971,New Zealand,New Zealand,565,2.2
PH,12.879721,121.774017,Philippines,Philippines,310,1.2
VN,14.058324,108.277199,Vietnam,Vietnam,270,1.1
ZA,-30.559482,22.937506,South Africa,South Africa,200,0.8
AU,-25.274398,133.775136,Australia,,,
